PRO ID 	Category 	

PR:000014730	gene
PR:000014639	gene
PR:000014638	gene
PR:000014600	gene
PR:000014598	gene
PR:000014575	gene
PR:000014500	gene
PR:000014479	gene
PR:000014472	gene
PR:000014459	gene
PR:000014444	gene
PR:000014431	gene
PR:000014369	gene
PR:000014368	gene
PR:000014310	gene
PR:000014308	gene
PR:000014280	gene
PR:000014275	gene
PR:000014271	gene
PR:000014264	gene

PR:000016346	gene
PR:000016343	gene
PR:000016278	gene
PR:000016036	gene
PR:000016029	gene
PR:000015843	gene
PR:000015836	gene
PR:000015829	gene
PR:000015815	gene
PR:000015797	gene
PR:000015663	gene
PR:000015633	gene
PR:000015632	gene
PR:000015626	gene
PR:000015601	gene
PR:000015596	gene
PR:000015507	gene
PR:000015357	gene
PR:000015347	gene
PR:000015346	gene
PR:000015344	gene
PR:000015343	gene
PR:000015338	gene
PR:000015250	gene

PR:000017047	gene
PR:000017040	gene
PR:000016980	gene
PR:000016977	gene
PR:000016968	gene
PR:000016951	gene
PR:000016869	gene
PR:000016717	gene
PR:000016716	gene
PR:000016715	gene
PR:000016705	gene
PR:000016689	gene
PR:000016684	gene
PR:000016683	gene
PR:000016682	gene
PR:000016616	gene
PR:000016615	gene
PR:000016612	gene
PR:000016611	gene
PR:000016578	gene
PR:000016577	gene
PR:000016359	gene
PR:000016349	gene
PR:000016348	gene

PR:000026238	sequence
PR:000022019	sequence
PR:000017785	gene
PR:000017679	gene
PR:000017599	gene
PR:000017539	gene
PR:000017535	gene
PR:000017523	gene
PR:000017512	gene
PR:000017470	gene
PR:000017402	gene
PR:000017400	gene
PR:000017391	gene
PR:000017369	gene
PR:000017358	gene
PR:000017273	gene
PR:000017208	gene
PR:000017207	gene
PR:000017206	gene
PR:000017203	gene
PR:000017178	gene
PR:000017136	gene
PR:000017135	gene
PR:000017134	gene

PR:000029821	gene
PR:000029790	gene
PR:000029777	gene
PR:000029729	gene
PR:000029647	gene
PR:000029642	gene
PR:000029630	gene
PR:000029412	gene
PR:000029391	gene
PR:000029385	gene
PR:000029344	gene
PR:000029256	gene
PR:000029101	gene
PR:000028973	sequence
PR:000028904	sequence
PR:000028331	sequence
PR:000027875	sequence
PR:000027860	sequence
PR:000027858	sequence
PR:000027856	sequence
PR:000027683	sequence
PR:000027017	sequence
PR:000027009	sequence
PR:000027008	gene

PR:000037929	sequence
PR:000035810	sequence
PR:000035808	sequence
PR:000032666	gene
PR:000032429	gene
PR:000032393	gene
PR:000031970	gene
PR:000031720	gene
PR:000031675	gene
PR:000031492	gene
PR:000031269	gene
PR:000031226	gene
PR:000031100	gene
PR:000030892	gene
PR:000030792	gene
PR:000030317	gene
PR:000030281	gene
PR:000030255	gene
PR:000030202	gene
PR:000029868	gene
PR:000029860	gene
PR:000029856	gene
PR:000029848	gene
PR:000029839	gene

PR:000038528	sequence
PR:000038472	sequence
PR:000038429	sequence
PR:000038391	sequence
PR:000038387	sequence
PR:000038375	sequence
PR:000038354	sequence
PR:000038330	sequence
PR:000038304	sequence
PR:000038198	sequence
PR:000038157	sequence
PR:000038153	sequence
PR:000038146	sequence
PR:000038134	sequence
PR:000038123	sequence
PR:000038107	sequence
PR:000038105	sequence
PR:000038076	sequence
PR:000038051	sequence
PR:000038049	sequence
PR:000038002	sequence
PR:000037994	sequence
